,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
ALLIANCE PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,348.25,66.8,-15.84,35.56,2,2017
ALLIANCE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,2514.02,742,776.67,nan,1.76,2017
ALLIANZ TECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,493.79,1465,nan,nan,nan,2016
ALLIED MINDS PLC,Financial Services,Specialty Finance,125.2,57.8,22.56,nan,nan,2017
ALPHA FINANCIAL MARKETS CONSULTING PLC,Support Services,Business Support Services,249.24,248.5,nan,nan,nan,2018
ALPHA FX GROUP PLC,Financial Services,Investment Services,239.38,655,20.56,nan,nan,2017
ALTITUDE GROUP PLC,Support Services,Business Support Services,68.26,102,5.53,nan,nan,2017
ALTONA ENERGY PLC,Mining,Coal,0.26,16.5,-0.01,nan,nan,2017
ALTUS STRATEGIES PLC,Mining,General Mining,6.23,3.5,348,nan,-72.24,2017
ALUMASC GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,42.46,117.5,4.99,nan,5.44,2018
AMERISUR RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,201.04,16.56,13.18,nan,nan,2017
AMIAD WATER SYSTEMS LTD,Industrial Engineering,Industrial Machinery,43.74,193,145.84,16.67,1.39,2017
AMIGO HOLDINGS PLC,Financial Services,Consumer Finance,1139.14,240,nan,nan,nan,nan
AMINO TECHNOLOGIES PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,62.27,84,12.77,nan,3.52,2017
AMPHION INNOVATIONS PLC,Financial Services,Specialty Finance,0.84,0.4,nan,-697.98,nan,2017
AMRYT PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,42.73,15.5,-9.71,nan,nan,2017
AMUR MINERALS CORPORATION,Mining,General Mining,20.28,3.31,3.42,nan,nan,2017
ANDALAS ENERGY AND POWER PLC,Alternative Energy,Alternative Fuels,2.1,0.57,0,nan,nan,2018
ANDREWS SYKES GROUP PLC,Support Services,Business Support Services,253.05,587.5,126.27,-38.03,4.29,2017
ANEXO GROUP PLC,Support Services,Business Support Services,132,120,nan,nan,nan,nan
ANGLE PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,78.92,55,9.36,nan,nan,2018
ANGLESEY MINING PLC,Mining,General Mining,4.35,2.45,6.77,nan,nan,2018
ANGLING DIRECT PLC,General Retailers,Specialty Retailers,43.94,71.5,-81.58,2.34,nan,2018
ANGLO AFRICAN OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,25.04,10.4,3.37,-27,nan,2017
ANGLO AMERICAN PLC,Mining,General Mining,28646.35,2012,1069.69,18.16,4.95,2017
ANGLO ASIAN MINING PLC,Mining,General Mining,94.37,82.5,46.52,21.23,nan,2017
ANGLO-EASTERN PLANTATIONS PLC,Food Producers,Farming &amp; Fishing,216.81,544,742.92,-28.98,0.39,2017
ANGUS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,18.82,4,nan,nan,-2183.85,2017
ANIMALCARE GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,85.58,142.5,-26.38,28.9,2.16,2017
ANPARIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,75.27,330,85.22,nan,1.65,2017
ANTOFAGASTA PLC,Mining,General Mining,9525.35,961,556,22.21,3.83,2017
AO WORLD PLC,General Retailers,Specialty Retailers,462.46,102,14.49,-47.17,nan,2018
AORTECH INTERNATIONAL PLC,Health Care Equipment &amp; Services,Medical Equipment,9.18,60.5,9.41,nan,nan,2018
APAX GLOBAL ALPHA LIMITED,Equity Investment Instruments,Equity Investment Instruments,707.19,145,165.58,nan,6.62,2017
APC TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,12.14,7,-2.41,75.19,nan,2017
APPLEGREEN PLC,General Retailers,Specialty Retailers,619.97,511,121.13,5.62,nan,2017
APPLIED GRAPHENE MATERIALS PLC,Chemicals,Specialty Chemicals,12.85,26,26.6,nan,nan,2018
APPSCATTER GROUP PLC,Software &amp; Computer Services,Software,16.79,18.25,12.04,nan,nan,2017
AQUIS EXCHANGE PLC,Financial Services,Investment Services,147.97,545,nan,nan,nan,nan
ARBUTHNOT BANKING GROUP PLC,Financial Services,Specialty Finance,193.56,1300,1480.15,nan,2.38,2017
ARC MINERALS LIMITED,Mining,Gold Mining,18.34,2.9,1.77,nan,nan,2018
ARCONTECH GROUP PLC,Software &amp; Computer Services,Software,16.91,128,15.6,nan,1.71,2018
ARDEN PARTNERS PLC,Financial Services,Investment Services,8.32,27,28.18,nan,3.28,2018
ARENA EVENTS GROUP PLC,Travel &amp; Leisure,Recreational Services,53.93,35.2,-1676.68,22.75,nan,2017
ARGO GROUP LIMITED,Financial Services,Specialty Finance,7.41,15.75,40.09,nan,nan,2017
ARGOS RESOURCES LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,6.05,2.75,0.2,nan,nan,2016
ARIANA RESOURCES PLC,Mining,Gold Mining,20.93,2.02,0.21,nan,nan,2017
ARMADALE CAPITAL PLC,"Gas, Water &amp; Multiutilities",Water,3.48,1.15,0.79,29.37,nan,2017
ARROW GLOBAL GROUP PLC,Financial Services,Specialty Finance,308.46,176,-0.64,nan,2.82,2017
ARTEMIS ALPHA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,115.77,282.5,396.1,nan,1.95,2018
ASA INTERNATIONAL GROUP PLC,Financial Services,Consumer Finance,463.52,415.25,nan,nan,nan,nan
ASCENT RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,7.84,0.33,1.93,nan,nan,2017
ASCENTIAL PLC,Media,Media Agencies,1511.39,371.2,-72.45,nan,nan,2017
ASHLEY HOUSE PLC,Construction &amp; Materials,Heavy Construction,5.45,8.9,8.99,27.8,nan,2018
