,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
BRITISH LAND COMPANY PLC,Real Estate Investment Trusts,Diversified REITs,5531.97,590.4,941.59,32.67,4.69,2018
BLACKROCK THROGMORTON TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,363.46,499,542.66,nan,1.97,2017
BRADY PLC,Software &amp; Computer Services,Software,49.6,59.5,-2.42,nan,nan,2017
BRAEMAR SHIPPING SERVICES PLC,Industrial Transportation,Transportation Services,58.94,190,4.15,13.66,6.15,2018
BRAVE BISON GROUP PLC,Software &amp; Computer Services,Computer Services,16.95,2.8,0.51,nan,nan,2017
BRAVEHEART INVESTMENT GROUP PLC,Financial Services,Specialty Finance,3.11,11.5,13.4,nan,nan,2018
BREEDON GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,1099.88,65.4,23.04,20.81,nan,2017
BREWIN DOLPHIN HOLDINGS PLC,Financial Services,Asset Managers,879.87,307.8,66.33,nan,4.78,2018
BRIGHTON PIER GROUP PLC (THE),Travel &amp; Leisure,Restaurants &amp; Bars,18.27,49,23.89,nan,nan,2018
BRITVIC PLC,Beverages,Soft Drinks,2440.09,923,-23.51,174.82,3.6,2018
BROOKS MACDONALD GROUP PLC,Financial Services,Asset Managers,225.67,1585,197.09,nan,2.37,2018
BROWN (N) GROUP PLC,General Retailers,Apparel Retailers,300.44,105,106.73,nan,7.56,2018
BRUNNER INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,324.89,761,862.01,nan,2.1,2017
BT GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,22564.46,221.2,-41.76,133.41,6.77,2018
BTG PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,3225.6,834.5,58.97,nan,nan,2018
BUNZL PLC,Support Services,Business Support Services,8229.27,2433,-268.83,105.76,2.24,2017
BURBERRY GROUP PLC,Personal Goods,Clothing &amp; Accessories,8129.18,1923,296.55,-62.8,2.44,2018
BURFORD CAPITAL LIMITED,Financial Services,Specialty Finance,3843.86,1766,233.86,nan,0.7,2017
BUSHVELD MINERALS LIMITED,Mining,General Mining,425.24,37,0.85,nan,nan,2017
BYOTROL PLC,Chemicals,Specialty Chemicals,10.77,2.55,1.47,nan,nan,2018
CABOT ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.16,0.17,2.53,nan,nan,2017
CADENCE MINERALS PLC,Mining,Platinum &amp; Precious Metals,8.24,0.12,0.32,8.03,nan,2017
CAFFYNS PLC,General Retailers,Specialty Retailers,11.05,410,931.86,51.62,5.29,2018
CAIRN ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1181.36,201.2,230.1,4.53,nan,2017
CAKE BOX HOLDINGS PLC,Travel &amp; Leisure,Restaurants &amp; Bars,63.6,159,nan,nan,nan,nan
CALEDONIA INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,1655.67,2985,2918.6,nan,2.15,2018
CALEDONIA MINING CORPORATION PLC,Mining,Gold Mining,46.53,435,456.26,-17.81,4.01,2017
CAMBRIA AFRICA PLC,Equity Investment Instruments,Equity Investment Instruments,5.17,0.93,0.7,-45.87,nan,2018
CAMBRIA AUTOMOBILES PLC,General Retailers,Specialty Retailers,65,64.5,35.13,nan,1.77,2018
CAMBRIDGE COGNITION HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,17.08,82.5,12.94,nan,nan,2017
CAMELLIA PLC,Food Producers,Farming &amp; Fishing,298.99,10950,13222.3,-27.74,1.15,2017
CAPITAL &amp; COUNTIES PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,2173.81,257.3,329.75,26.73,0.47,2017
